task_id,transition,gold_motif,gold_call_count,C0_calls,E1_calls,E2_calls,longest_common_prefix,first_changed_turn,change_type,C0_failure,E2_failure,C0_final_outcome,E2_final_outcome,R_train_C0,R_train_E2,R_class_C0,R_class_E2
c8a52dc3-691c-46e4-b4f2-a1ab8097cc5a,gained,long_chain,6,3,3,3,1,2,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.219583,0.242917,too_few_calls,too_few_calls
c9cabae3-811e-4e9f-87d8-92cb861e3045,lost,fan_in,4,5,5,5,5,5,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.261458,0.256458,wrong_tool,wrong_tool
cdfc6ae1-e182-443e-b66e-1162b3d38a03,lost,long_chain,14,9,9,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,parse/format error,win,loss,0.255385,0.0,too_few_calls,parse_error
d68f72eb-874c-4304-afe3-f7739de46e8f,lost,linear_dependency,2,2,2,1,1,2,předčasné ukončení,success,too few calls,win,loss,0.5375,0.275,correct_tool_wrong_args,too_few_calls
d8f8b942-c7da-4cab-a2c0-419f79e18431,lost,linear_dependency,3,2,0,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.254583,0.02,too_few_calls,no_tool_call
db347cbd-e228-4284-a667-8f354809edf6,gained,long_chain,5,0,0,3,0,1,"jiná, ale validní cesta",no tool call,success,loss,win,0.02,0.247,no_tool_call,too_few_calls
db663e22-21eb-424f-a826-af28045b196a,gained,long_chain,6,0,5,5,0,1,"jiná, ale validní cesta",no tool call,success,loss,win,0.02,0.282,no_tool_call,too_few_calls
db8d72af-7a1a-4201-a376-4b827b0162df,lost,long_chain,5,4,4,2,2,2,"kratší než gold trace (metrika, ne nutně chyba)",success,executable trajectory ending wrong result,win,loss,0.314375,0.233,too_few_calls,too_few_calls
dbdc8346-a48e-4ecd-adb1-11fe1879b7c5,gained,long_chain,6,0,2,5,0,1,"jiná, ale validní cesta",parse/format error,success,loss,win,0.0,0.2995,parse_error,too_few_calls
df7d09de-9314-438c-a726-5189f82d3bd9,gained,long_chain,9,4,6,3,2,3,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.214722,0.206944,too_few_calls,too_few_calls
e1a005a4-216d-4486-a15b-d53ccb574e78,gained,long_chain,7,1,3,3,0,1,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.15,0.2025,too_few_calls,too_few_calls
e3f3049a-021f-4f90-9c4e-640aaf4519c4,gained,linear_dependency,3,3,3,4,0,1,"jiná, ale validní cesta",wrong tool,success,loss,win,0.258333,0.220833,wrong_tool,wrong_tool
e409ff80-64e3-43f1-aacb-2d552908e8ea,lost,fan_in,3,2,3,2,2,1,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.216667,0.234167,too_few_calls,too_few_calls
e53a50d4-dc11-4d47-81b5-14269953bf92,gained,fan_in,3,2,3,3,0,1,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.234167,0.25625,too_few_calls,wrong_tool
e5908a48-4f50-4df2-8ca0-c32ed32177fb,lost,long_chain,5,5,5,4,4,4,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.254375,0.279375,wrong_tool,too_few_calls
e5eb37ac-bd11-4a84-82a3-588c93ba7712,lost,linear_dependency,2,1,1,2,0,1,změněný první tool,success,executable trajectory ending wrong result,win,loss,0.205,0.19375,too_few_calls,wrong_tool
e6520066-98cf-4254-bed3-8cd7e8dfa2eb,gained,long_chain,6,5,3,5,2,3,změněný pozdější tool,"correct keys, wrong argument values",success,loss,win,0.2925,0.293083,too_few_calls,too_few_calls
e6f87834-9065-4acb-b170-34e171f97465,lost,long_chain,7,5,0,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,parse/format error,win,loss,0.310833,0.0,too_few_calls,parse_error
e70bd2c9-99af-410a-bc6d-61a65e00f7d8,gained,long_chain,5,0,1,3,0,1,"jiná, ale validní cesta",no tool call,success,loss,win,0.0,0.2365,clipped,too_few_calls
e777b240-2ff0-4ec1-b9e1-eb656aaa8758,gained,linear_dependency,3,0,0,3,0,1,"jiná, ale validní cesta",no tool call,success,loss,win,0.0,0.25,clipped,wrong_tool
ec654414-df15-4621-9b4d-3570a4ae6864,lost,linear_dependency,3,3,3,3,3,2,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.5375,0.78,correct_tool_wrong_args,executable_wrong_final
ed95f1e2-dbf9-48ff-bf72-de405356a89b,gained,fan_in,4,3,3,1,1,1,"jiná, ale validní cesta",parse/format error,success,loss,win,0.0,0.1875,parse_error,too_few_calls
f3bf492e-464a-4b3c-be74-26ece6059721,gained,fan_in,3,2,2,3,2,3,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.31,0.541667,too_few_calls,correct_tool_wrong_args
f5f86953-11aa-47f5-92f5-607f7ba9fe00,gained,linear_dependency,3,3,2,2,2,2,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.225,0.254583,wrong_tool,too_few_calls
f62eee65-6d86-4fab-a3ab-1ebb99222f65,lost,linear_dependency,3,3,2,2,1,2,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.272917,0.269167,wrong_tool,too_few_calls
f66f39fa-83da-43b8-8f2c-bbbcb4661a5d,lost,long_chain,5,1,2,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.184,0.02,too_few_calls,no_tool_call
f8fdce32-9e0f-4f9c-bd0d-15dfce117a71,lost,long_chain,8,5,4,5,4,5,"kratší než gold trace (metrika, ne nutně chyba)",success,executable trajectory ending wrong result,win,loss,0.2775,0.265813,too_few_calls,too_few_calls
f931b90f-061b-49a6-807e-c760811bcbbc,gained,linear_dependency,3,1,1,2,1,2,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.193333,0.254583,too_few_calls,too_few_calls
f95f91e2-fbee-4cb5-a955-722cb50b80f3,gained,linear_dependency,3,0,0,2,0,1,"jiná, ale validní cesta",parse/format error,success,loss,win,0.0,0.234167,parse_error,too_few_calls
fc0ea07a-cf46-4011-a262-df20234c75e6,lost,linear_dependency,3,3,3,3,3,2,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.533333,0.560417,correct_tool_wrong_args,correct_tool_wrong_args
fc7d9c59-0aad-43be-a2ef-6d5b00633f30,lost,linear_dependency,3,3,3,3,3,2,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.533333,0.78,correct_tool_wrong_args,executable_wrong_final
fd03dd17-e388-4fd6-ad21-fac7bfe0b176,lost,long_chain,6,2,0,3,1,1,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.210833,0.2575,too_few_calls,too_few_calls
fdb9997f-23ee-4897-b6b5-cb8d56de2bb8,lost,long_chain,15,8,7,7,6,1,"kratší než gold trace (metrika, ne nutně chyba)",success,executable trajectory ending wrong result,win,loss,0.248417,0.238583,too_few_calls,too_few_calls
fe3ebaf1-4861-425f-a681-3ed6815e4f24,gained,long_chain,8,2,1,2,0,1,"jiná, ale validní cesta",wrong tool,success,loss,win,0.19625,0.1875,too_few_calls,too_few_calls
fe72229a-2b0d-4eb4-8ba9-1e5179ff5029,lost,long_chain,5,4,6,6,1,2,změněný pozdější tool,success,wrong tool,win,loss,0.289875,0.24,too_few_calls,wrong_tool
ff6f567d-265a-4ac1-9e31-35d964ed83d9,lost,linear_dependency,2,3,3,3,0,1,změněný první tool,success,wrong tool,win,loss,0.50625,0.24375,correct_tool_wrong_args,wrong_tool
ffc20e46-5975-4bc7-b0d5-23f712931223,lost,long_chain,5,4,2,2,1,2,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.282,0.2295,too_few_calls,too_few_calls
